var_1,var_2,var_3,var_4,var_5
0.4967141530112327,,,1.5230298564080254,-0.23415337472333597
-0.23413695694918055,,,-0.4694743859349521,0.5425600435859647
-0.46341769281246226,,,-1.913280244657798,-1.7249178325130328
-0.5622875292409727,,,-0.9080240755212109,-1.4123037013352915
1.465648768921554,,,-1.4247481862134568,-0.5443827245251827
0.11092258970986608,,,-0.600638689918805,-0.2916937497932768
-0.6017066122293969,1.8522781845089378,-0.013497224737933921,-1.0577109289559004,0.822544912103189
-1.2208436499710222,,,-1.3281860488984305,0.19686123586912352
0.7384665799954104,,,-0.3011036955892888,-1.4785219903674274
-0.7198442083947086,,,0.3436182895684614,-1.763040155362734
0.324083969394795,-0.38508228041631654,-0.6769220003059587,0.6116762888408679,1.030999522495951
0.9312801191161986,-0.8392175232226385,-0.3092123758512146,0.33126343140356396,0.9755451271223592
-0.47917423784528995,-0.18565897666381712,-1.1063349740060282,-1.1962066240806708,0.812525822394198
1.356240028570823,,,0.36163602504763415,-0.6451197546051243
0.36139560550841393,,,1.5646436558140062,-2.6197451040897444
0.8219025043752238,,,0.0917607765355023,-1.9875689146008928
-0.21967188783751193,,,-0.5182702182736474,-0.8084936028931876
-0.5017570435845365,,,-0.5297602037670388,0.5132674331133561
0.09707754934804039,,,-0.3276621465977682,-0.39210815313215763
-1.4635149481321186,,,0.00511345664246089,-0.23458713337514692
-1.4153707420504142,,,-0.8022772692216189,-0.16128571166600914
0.4040508568145384,,,0.25755039072276437,-0.07444591576616721
-1.9187712152990415,,,2.463242112485286,-0.19236096478112252
0.30154734233361247,-0.03471176970524331,-1.168678037619532,1.1428228145150205,0.7519330326867741
0.7910319470430469,,,-1.4018510627922809,0.5868570938002703
2.1904556258099785,,,0.09965136508764122,-0.5034756541161992
-1.5506634310661327,,,0.4735924306351816,-0.9194242342338032
1.5499344050175394,,,0.8135172173696698,-1.2308643164339552
0.22745993460412942,,,0.1846338585323042,0.25988279424842353
0.7818228717773104,,,0.5219415656168976,0.29698467323318606
0.25049285034587654,,,0.23225369716100355,0.29307247329868125
-0.7143514180263678,1.8657745111447566,0.4738329209117875,-1.1913034972026486,0.6565536086338297
-0.9746816702273214,0.787084603742452,1.158595579007404,-0.8206823183517105,0.9633761292443218
0.4127809269364983,,,-0.2453881160028705,-0.7537361643574896
-0.8895144296255233,,,0.3411519748166439,0.27669079933001905
0.8271832490360238,0.01300189187790702,1.4535340771573169,-0.2646568332379561,2.720169166589619
0.6256673477650062,,,0.4824724152431853,-0.2234627853258509
0.714000494092092,,,-0.846793718068405,-1.5148472246858646
-0.4465149520670211,,,-1.245738778711988,0.173180925851182
0.3853173797288368,,,0.058208718445999896,-1.142970297830623
0.3577873603482833,,,1.053802052034903,-1.377669367957091
-0.9378250399151228,0.5150352672086598,0.5137859509122088,0.5150476863060479,3.852731490654721
0.570890510693167,,,0.651391251305798,-0.3152692446403456
0.7589692204932674,,,-0.48536354782910346,0.08187413938632256
2.3146585666735087,,,-1.6127158711896517,-0.47193186578943347
1.088950596967366,0.06428001909546277,-1.0777447779293061,-0.7153037092599682,0.6795977489346758
-0.7303666317171367,0.21645858958197486,0.045571839903813784,-0.6516003476058171,2.1439440893253257
0.6339190223180112,-2.025142586657607,0.18645431476942764,-0.661786464768388,0.852433334796224
-0.7925207384327007,,,0.8657551941701215,-1.2002964070557762
-0.3345012358409484,,,1.7654542402810969,0.40498171096095553
